"s12","s13","s23","u1","u2","u3","Q2","madgraph_azimuthal_average","local_projected_matrix_element","signed_difference","relative_difference"
156155.01813489318,252960.01630757132,177668.41970879366,-145836.35240600805,-88403.99257334873,-608258.0698831748,255714.96071127313,1.4452208014165643e-10,1.4452208014165729e-10,8.530300066953098e-25,"5.902419933751224e-15"
128482.7803997141,305433.3209158113,299755.90128286555,-491685.04602990334,-204487.684628992,-173594.9500072809,136095.67806778534,2.1292634433603338e-10,2.1292634433603167e-10,-1.7060600133906196e-24,"8.012442136789667e-15"
160681.95876272698,329440.60612003034,109864.94012976302,-442483.02462779696,-267827.984895187,-71138.59030089102,181462.09481135494,3.2370392398250745e-10,3.2370392398250714e-10,-3.101927297073854e-25,"9.582606410546563e-16"
155391.0889583326,90233.54854470008,380543.1685990344,-280805.6061515508,-330835.6507188603,-224621.74300751573,210095.19377585957,3.914837423480612e-10,3.9148374234806233e-10,1.137373342260413e-24,"2.9052888261428525e-15"
116391.89890997339,343345.69839044026,151827.8329501495,-387528.48677936196,-52486.73594971624,-415603.4904611124,244053.28293962695,7.775492689580701e-11,7.775492689580725e-11,2.455692443516801e-25,"3.1582467395377593e-15"
42694.917604769464,401460.1121432536,208582.8989998476,-183071.97947574494,-249420.12464995906,-449068.34077914845,228822.51615698152,1.3844701980356568e-10,1.3844701980356633e-10,6.462348535570529e-25,"4.66774116534942e-15"
347906.9529969056,338486.5864456236,57335.62332702718,-866565.0969731439,-49156.68593336447,-56278.77214963337,228271.39228658564,2.1618560363504373e-10,2.1618560363504334e-10,-3.877409121342317e-25,"1.793555655948308e-15"
158860.36017481238,298049.450641909,244971.1944731573,-511218.20251901564,-200570.6613033507,-106403.78879071151,116311.64732319921,3.4587918369912064e-10,3.458791836991176e-10,-3.0502285087892896e-24,"8.81876866993729e-15"
343503.80004518596,30259.116293550527,209557.7719785905,-95894.61505634424,-671103.296368139,-161379.74431643068,345056.96742358716,1.1738767152643616e-9,1.1738767152643552e-9,-6.4106497472859645e-24,"5.461092859178369e-15"
226549.75096894792,53047.01281020566,216529.41793372476,-260139.3411148889,-316441.30385010823,-54691.49553891612,135145.95879103497,3.1234267307837515e-9,3.1234267307837643e-9,1.2821299494571929e-23,"4.104882425513042e-15"
162259.94976847817,28898.37412641256,82531.50425745439,-130902.74989575893,-106989.53731287134,-124860.26309270019,89062.72214898592,1.6791701613188085e-8,1.6791701613188214e-8,1.2904017555827232e-22,"7.684758729688484e-15"
133677.25071787846,32258.62879481053,205110.9470359227,-189688.44469832958,-74326.73698210693,-319903.1338726316,212871.4890044564,1.8027339136835228e-9,1.8027339136835216e-9,-1.2407709188295415e-24,"6.882718017404336e-16"
139701.91481835992,395896.7951125477,44696.266780829814,-114193.07474646394,-224663.4637065459,-417402.17936127185,175963.74110254418,5.038490050133534e-10,5.038490050133529e-10,-5.169878828456423e-25,"1.0260770145451426e-15"
330713.50268720934,138070.88092923362,173434.5408580672,-47890.229601246065,-601441.5790457698,-243515.30800709216,250628.19217959797,7.032050846883778e-10,7.032050846883777e-10,-1.0339757656912846e-25,"0"
117777.0801445012,118473.35841425185,488415.90833087126,-237660.79186310797,-357695.3896404024,-361056.0318520964,231745.86646598205,2.335407732320435e-10,2.3354077323203543e-10,-8.06501097239202e-24,"3.453363136885187e-14"
55024.35536238548,76758.23666219223,364812.26301507914,-126603.23174642352,-69375.59226275109,-459124.8504874434,158508.8194569611,1.5451337110056322e-9,1.5451337110056258e-9,-6.4106497472859645e-24,"4.148928796015762e-15"
23959.24480825964,101092.36150914822,134302.04317029114,-159743.69626388868,-267767.8546211399,-37034.736399887726,205192.63779721715,1.5863821213964117e-8,1.586382121396403e-8,-8.602678370551488e-23,"5.42282862024377e-15"
243796.8355332008,120429.93117519844,90130.84633925758,-189085.03288456931,-403835.4623425766,-258752.0935807372,397314.9757602264,2.940251216188254e-10,2.94025121618824e-10,-1.3958672836832342e-24,"4.7474422457440174e-15"
