s12,s13,s23,u1,u2,u3,Q2,madgraph_azimuthal_average
2.80003888028863003e+05,1.55116725897240452e+05,1.34367094833841285e+05,-1.57426823403361748e+05,-4.20916779738915735e+05,-9.67879939503647620e+04,1.05643888332697636e+05,1.01200884189678316e-09
1.17615162963465045e+05,2.86541589962080587e+05,7.91746276335346338e+04,-1.16084400446488187e+05,-8.10779949055906618e+04,-5.19259752700026322e+05,2.33090767493025109e+05,3.43953287034543091e-10
2.74596095871822210e+05,6.98098530457449961e+04,1.51788022611852386e+05,-4.67226156634218467e+05,-3.60703735844396113e+05,-5.18150240113254986e+04,3.83550944960519904e+05,6.87779407968315412e-10
1.86544982496414392e+05,1.92067262456044118e+04,9.12073991558297421e+04,-2.40296122587605380e+05,-1.37913950816378783e+05,-8.76038478450831317e+04,1.68854813351218821e+05,9.73030366821929501e-09
1.82336918979826529e+05,3.72896032925947453e+05,6.31213028347557411e+04,-1.24947543524201668e+05,-1.96356922832216835e+05,-4.00870987950184150e+05,1.03821199566072930e+05,6.04474674034021400e-10
2.22928842929604114e+05,1.61319282595976721e+05,7.30100874756978883e+04,-2.21796127274246624e+05,-4.71108939197143947e+05,-9.93857388623358274e+04,3.35032592332447995e+05,4.23148262170843841e-10
5.94647499239781755e+04,1.10391591687745386e+05,1.31379688782056764e+05,-2.61955923000027396e+04,-2.18002985531788261e+05,-2.11079405640667683e+05,1.54041953078678285e+05,6.06223792196354168e-09
2.83438794159851677e+05,3.06281761139005248e+05,1.07226922445333621e+05,-2.31566942026592180e+05,-5.04758484602890676e+05,-2.31232327433733852e+05,2.70610276319026307e+05,1.13735112693456186e-10
2.77684438411434821e+04,3.94954880110371087e+04,4.01505060883842409e+05,-3.95450416730730503e+04,-4.66811255268027715e+05,-2.79403366026980570e+05,3.16990670232058153e+05,4.19038757330273343e-09
6.51044897750715318e+04,2.45482260040660825e+05,2.87252479965455481e+05,-2.43766923068670381e+05,-4.41007319706850743e+05,-2.11096487299239845e+05,2.98031500293573132e+05,2.13951023964859007e-10
1.21261369164134696e+05,1.99380033506651729e+05,1.46085064928944950e+05,-2.66918257869257592e+05,-4.32773881798587623e+05,-1.22495637820095959e+05,3.55461309888209798e+05,2.54812096194853862e-10
6.55025048130652285e+04,2.93689677424782130e+05,2.82494119320120313e+05,-3.50163284049130627e+05,-1.63226961784830317e+05,-4.30821738703156414e+05,3.02525682979149453e+05,8.89249787679823781e-11
2.14343797070050990e+05,8.39861369026215398e+04,3.34545635547006503e+05,-2.81058435514817189e+05,-4.13483233238570683e+05,-7.01535199313466583e+04,1.31819619165055221e+05,1.31932650167822989e-09
5.24299091424374637e+04,1.72093765084352955e+05,1.01390684813470391e+05,-1.65804712285398040e+05,-1.26076061111823365e+05,-3.75132108870195225e+05,3.41098523227156664e+05,3.70748292714392373e-10
8.25434304309225699e+04,1.73305087118814146e+05,2.97707098703458440e+05,-1.48063513877041609e+05,-1.24918219595113886e+05,-5.65560893429701333e+05,2.84987010648661410e+05,1.93014201050535051e-10
2.22527933555426134e+05,2.38030212902988715e+05,3.72259351648810261e+04,-5.59744883470120607e+05,-1.40641036245698167e+05,-1.00098215264527229e+05,3.02700053357049706e+05,2.61292676096447970e-10
8.42189143618792732e+04,1.58485544450458488e+05,5.29516654589335667e+04,-7.25209933832434035e+04,-2.41377350664936705e+05,-3.33462084309749305e+05,3.51704304086658056e+05,1.15306772465005104e-09
3.48585050563968078e+05,4.68861149224268302e+04,1.95706208577758167e+05,-5.41448197891624222e+04,-5.34405239584420226e+05,-1.18614816765613912e+05,1.15987502075043347e+05,4.01383643438295367e-09
3.61248010292004736e+05,8.81843594868197397e+04,6.90658884910284251e+04,-3.72962866685189889e+05,-2.82423866677058395e+05,-2.62618122697912855e+05,3.99506597790308122e+05,2.87057625279170672e-10
3.98073782305711647e+04,5.72356406521173078e+05,8.51130488457476604e+04,-5.84776736943828641e+05,-1.32360779333267448e+05,-1.28565673164591673e+05,1.48426355844195699e+05,3.60909532416930422e-10
7.68675380523466738e+04,2.41562508404364227e+05,3.82294945414993621e+05,-7.13120001021796925e+04,-2.58099323776907433e+05,-6.24606540855579427e+05,2.53292872862962366e+05,1.95580238038307361e-10
1.65707895268243185e+05,1.28194132456735242e+05,1.56268385434460419e+05,-2.92858462979389704e+05,-1.75442719923257537e+05,-1.37031135307029239e+05,1.55161905050237518e+05,7.21560367620543657e-10
2.77534721353472385e+05,1.68205567305290839e+05,1.57703026587558852e+05,-2.85178520944021817e+05,-2.96154508498291718e+05,-3.98823776523321401e+05,3.76713490719312918e+05,8.33386156933615966e-11
8.82199119552272314e+04,9.90867415785600315e+04,5.18078542476490256e+05,-2.01466786653370800e+05,-6.59733573189027724e+05,-6.82508243436755729e+04,2.24065988175796811e+05,1.43286906860773512e-09
1.31424682685863663e+05,5.57292372403271147e+04,1.39973320122349018e+05,-1.81482312845943146e+05,-7.64021605925932963e+04,-2.00731245152255404e+05,1.31488478542252153e+05,2.81760384868358120e-09
1.26765930861761124e+05,3.02864504082688014e+05,5.59847231990307046e+04,-4.39339811080704385e+05,-1.62902793741791102e+05,-9.57492856997451454e+04,2.12376732378760440e+05,3.56045172089599899e-10
9.71270593763404613e+04,3.05575974987890047e+05,1.76602096339534590e+05,-3.16838885532785964e+05,-1.31015184893131038e+05,-4.70775661708014959e+05,3.39324601430166862e+05,6.33447194874883876e-11
7.92580403760352929e+04,5.97866128779208229e+04,3.78151001118618587e+05,-6.67594697122044163e+04,-2.61193837005838228e+05,-4.42837432572365389e+05,2.53595084917832690e+05,1.18090569919177390e-09
