"s12","s13","s23","u1","u2","u3","Q2","madgraph_azimuthal_average","local_projected_matrix_element","signed_difference","relative_difference"
65502.50481306523,293689.67742478213,282494.1193201203,-350163.2840491306,-163226.96178483032,-430821.7387031564,302525.68297914945,9.47497364977957e-12,9.47497364977955e-12,-1.9387045606711586e-26,"2.046131875750664e-15"
214343.797070051,83986.13690262154,334545.6355470065,-281058.4355148172,-413483.2332385707,-70153.51993134666,131819.61916505522,6.013986637135021e-11,6.013986637135008e-11,-1.2924697071141057e-25,"2.1491063833321388e-15"
52429.909142437464,172093.76508435296,101390.68481347039,-165804.71228539804,-126076.06111182336,-375132.1088701952,341098.52322715666,7.197849983471867e-11,7.197849983471876e-11,9.04728794979874e-26,"1.2569431108697252e-15"
82543.43043092257,173305.08711881415,297707.09870345844,-148063.5138770416,-124918.21959511389,-565560.8934297013,284987.0106486614,5.1815248952324533e-11,5.1815248952324643e-11,1.0985992510469899e-25,"2.120223820709255e-15"
222527.93355542613,238030.21290298871,37225.935164881026,-559744.8834701206,-140641.03624569817,-100098.21526452723,302700.0533570497,1.471803359911955e-11,1.471803359911954e-11,-9.693522803355793e-27,"6.586153468175036e-16"
84218.91436187927,158485.5444504585,52951.66545893357,-72520.9933832434,-241377.3506649367,-333462.0843097493,351704.30408665806,1.610716706350289e-10,1.6107167063502835e-10,-5.428372769879244e-25,"3.370159847773203e-15"
348585.0505639681,46886.11492242683,195706.20857775817,-54144.81978916242,-534405.2395844202,-118614.81676561391,115987.50207504335,7.403171065900585e-10,7.403171065900586e-10,1.0339757656912846e-25,"0"
361248.01029200474,88184.35948681974,69065.88849102843,-372962.8666851899,-282423.8666770584,-262618.12269791286,399506.5977903081,1.0218499454312842e-11,1.0218499454312837e-11,-4.8467614016778965e-27,"4.743124392527381e-16"
39807.378230571165,572356.4065211731,85113.04884574766,-584776.7369438286,-132360.77933326745,-128565.67316459167,148426.3558441957,7.679160333720727e-11,7.6791603337207e-11,-2.714186384939622e-25,"3.534483285914851e-15"
76867.53805234667,241562.50840436423,382294.9454149936,-71312.00010217969,-258099.32377690743,-624606.5408555794,253292.87286296237,6.95246379307037e-11,6.952463793070377e-11,6.462348535570529e-26,"9.295048097929898e-16"
165707.89526824318,128194.13245673524,156268.38543446042,-292858.4629793897,-175442.71992325754,-137031.13530702924,155161.90505023752,6.383284835706633e-11,6.38328483570664e-11,6.462348535570529e-26,"1.0123860523067409e-15"
277534.7213534724,168205.56730529084,157703.02658755885,-285178.5209440218,-296154.5084982917,-398823.7765233214,376713.4907193129,7.550069449638826e-12,7.550069449638844e-12,1.7771458472818954e-26,"2.3538139074560498e-15"
88219.91195522723,99086.74157856003,518078.54247649026,-201466.7866533708,-659733.5731890277,-68250.82434367557,224065.9881757968,1.172426974242579e-10,1.1724269742425783e-10,-7.754818242684634e-26,"6.61432943206929e-16"
131424.68268586366,55729.237240327115,139973.32012234902,-181482.31284594315,-76402.1605925933,-200731.2451522554,131488.47854225215,5.375300968861344e-10,5.375300968861335e-10,-8.271806125530277e-25,"1.5388545075797873e-15"
126765.93086176112,302864.504082688,55984.723199030705,-439339.8110807044,-162902.7937417911,-95749.28569974515,212376.73237876044,4.1777956577637366e-11,4.17779565776374e-11,3.2311742677852644e-26,"7.734160625545826e-16"
97127.05937634046,305575.97498789005,176602.0963395346,-316838.88553278596,-131015.18489313104,-470775.66170801496,339324.60143016686,1.05967609681144e-11,1.0596760968114387e-11,-1.2924697071141057e-26,"1.2196837420445177e-15"
79258.0403760353,59786.61287792082,378151.0011186186,-66759.46971220442,-261193.83700583823,-442837.4325723654,253595.0849178327,2.3803282748935365e-10,2.3803282748935484e-10,1.1890721305449773e-24,"4.99541236848163e-15"
126007.2839790046,318802.89998495963,33472.74015191774,-127037.05814099476,-182053.15297157338,-292335.7359147749,123143.02291146095,4.413306273912423e-10,4.4133062739124205e-10,-2.5849394142282115e-25,"5.857149388221921e-16"
287871.37062610796,199575.3046688462,234647.99897529933,-615862.3829052423,-303263.9374915506,-62913.42338996912,259945.06951650837,9.191640457886994e-12,9.191640457887013e-12,1.9387045606711586e-26,"2.109204085553223e-15"
